concept,feature,label
plum,can hold or contain liquid,0
rocket,can hold or contain liquid,0
peeler,can hold or contain liquid,0
rollerskate,can hold or contain liquid,0
crab,can hold or contain liquid,0
bone,can hold or contain liquid,0
pony,can hold or contain liquid,0
strainer,can hold or contain liquid,0
tray,can hold or contain liquid,0
catapult,can hold or contain liquid,0
basket,can hold or contain liquid,0
trouser,can hold or contain liquid,0
ladle,can hold or contain liquid,0
ferry,can hold or contain liquid,0
bag,can hold or contain liquid,0
date,can hold or contain liquid,0
bomb,can hold or contain liquid,0
mirror,can hold or contain liquid,0
bin,can hold or contain liquid,0
chandelier,can hold or contain liquid,0
puppet,can hold or contain liquid,0
accordion,can hold or contain liquid,0
crayfish,can hold or contain liquid,0
raft,can hold or contain liquid,0
clamp,can hold or contain liquid,0
kite,can hold or contain liquid,0
chopping_board,can hold or contain liquid,0
plate,can hold or contain liquid,0
yoyo,can hold or contain liquid,0
earmuffs,can hold or contain liquid,0
chest_of_drawers,can hold or contain liquid,0
donkey,can hold or contain liquid,0
fork,can hold or contain liquid,0
armor,can hold or contain liquid,0
rattle,can hold or contain liquid,0
cauliflower,can hold or contain liquid,0
mayonnaise,can hold or contain liquid,0
crossbow,can hold or contain liquid,0
rake,can hold or contain liquid,0
deckchair,can hold or contain liquid,0
bus,can hold or contain liquid,0
doll,can hold or contain liquid,0
broom,can hold or contain liquid,0
ice_cream,can hold or contain liquid,0
eagle,can hold or contain liquid,0
plow,can hold or contain liquid,0
blender,can have a lid,1
barrel,can have a lid,1
pie,can have a lid,1
jam,can have a lid,1
yoghurt,can have a lid,1
basket,can have a lid,1
kettle,can have a lid,1
box,can have a lid,1
piano,can have a lid,1
bottle,can have a lid,1
bin,can have a lid,1
jar,can have a lid,1
basin,can have a lid,0
hoe,can have a lid,0
cucumber,can have a lid,0
satchel,can have a lid,0
leek,can have a lid,0
peeler,can have a lid,0
rollerskate,can have a lid,0
whisk,can have a lid,0
tray,can have a lid,0
grater,can have a lid,0
bolt,can have a lid,0
harpoon,can have a lid,0
ladle,can have a lid,0
bag,can have a lid,0
sledge,can have a lid,0
bomb,can have a lid,0
mug,can have a lid,0
artichoke,can have a lid,0
bowl,can have a lid,0
bucket,can have a lid,0
mushroom,can have a lid,0
drum,can have a lid,0
corn,can have a lid,0
harpsichord,can have a lid,0
asparagus,can have a lid,0
flour,can have a lid,0
cake,can have a lid,0
chocolate,can have a lid,0
bookcase,can have a lid,0
train,can have a lid,0
wallet,can have a lid,0
rolling_pin,can have a lid,0
organ,can have a lid,0
jug,can have a lid,0
broom,can have a lid,0
bathtub,can have a lid,0
barrel,can store alcohol,1
bowl,can store alcohol,0
bucket,can store alcohol,0
jar,can store alcohol,0
barrel,has metal bands,1
bowl,has metal bands,0
bucket,has metal bands,0
jar,has metal bands,0
deckchair,can be found in boats or ships,1
barrel,can be found in boats or ships,1
dinghy,can be found in boats or ships,1
cannon,can be found in boats or ships,1
bowl,can be found in boats or ships,0
bucket,can be found in boats or ships,0
canoe,can be found in boats or ships,0
wheelchair,can be found in boats or ships,0
basket,can be found in boats or ships,0
box,can be found in boats or ships,0
boat,can be found in boats or ships,0
chair,can be found in boats or ships,0
jar,can be found in boats or ships,0
kayak,can be found in boats or ships,0
armchair,can be found in boats or ships,0
peeler,can be found in boats or ships,0
barrel,can store wine,1
bottle,can store wine,1
bowl,can store wine,0
bucket,can store wine,0
basin,can store wine,0
jar,can store wine,0
bathtub,can store wine,0
ladle,can store wine,0
barrel,has a cork stopper,1
bottle,has a cork stopper,1
bowl,has a cork stopper,0
bucket,has a cork stopper,0
basin,has a cork stopper,0
jar,has a cork stopper,0
bathtub,has a cork stopper,0
ladle,has a cork stopper,0
barrel,can be found in cellars,1
wine,can be found in cellars,1
bowl,can be found in cellars,0
bucket,can be found in cellars,0
champagne,can be found in cellars,0
brandy,can be found in cellars,0
jar,can be found in cellars,0
gin,can be found in cellars,0
barrel,is wide in middle,1
bowl,is wide in middle,0
bucket,is wide in middle,0
jar,is wide in middle,0
basin,can have an attached tap,1
sink,can have an attached tap,1
bathtub,can have an attached tap,1
raft,can have an attached tap,0
kite,can have an attached tap,0
dice,can have an attached tap,0
yoyo,can have an attached tap,0
catapult,can have an attached tap,0
earmuffs,can have an attached tap,0
balloon,can have an attached tap,0
doll,can have an attached tap,0
rattle,can have an attached tap,0
basin,is used to wash,1
washing_machine,is used to wash,1
sink,is used to wash,1
dishwasher,is used to wash,1
hose,is used to wash,1
bathtub,is used to wash,1
raft,is used to wash,0
tugboat,is used to wash,0
kite,is used to wash,0
donut,is used to wash,0
lobster,is used to wash,0
yoyo,is used to wash,0
earmuffs,is used to wash,0
balloon,is used to wash,0
refrigerator,is used to wash,0
coffee_maker,is used to wash,0
oven,is used to wash,0
cello,is used to wash,0
football,is used to wash,0
rattle,is used to wash,0
peeler,is used to wash,0
microwave,is used to wash,0
bee,is used to wash,0
leotard,is used to wash,0
whisk,is used to wash,0
flea,is used to wash,0
catapult,is used to wash,0
stove,is used to wash,0
doll,is used to wash,0
toaster,is used to wash,0
basin,is found in bathrooms,1
sink,is found in bathrooms,1
bathtub,is found in bathrooms,1
mirror,is found in bathrooms,1
raft,is found in bathrooms,0
clamp,is found in bathrooms,0
kite,is found in bathrooms,0
spirit_level,is found in bathrooms,0
chopping_board,is found in bathrooms,0
yoyo,is found in bathrooms,0
catapult,is found in bathrooms,0
earmuffs,is found in bathrooms,0
balloon,is found in bathrooms,0
doll,is found in bathrooms,0
rattle,is found in bathrooms,0
peeler,is found in bathrooms,0
basin,is a sink,1
jar,is a sink,0
bucket,is a sink,0
barrel,is a sink,0
blender,has a plug,1
basin,has a plug,1
refrigerator,has a plug,1
coffee_maker,has a plug,1
lamp,has a plug,1
sink,has a plug,1
radio,has a plug,1
bathtub,has a plug,1
television,has a plug,1
toaster,has a plug,1
raft,has a plug,0
carnation,has a plug,0
kite,has a plug,0
dice,has a plug,0
chopping_board,has a plug,0
yoyo,has a plug,0
box,has a plug,0
balloon,has a plug,0
earmuffs,has a plug,0
chest_of_drawers,has a plug,0
cake,has a plug,0
tangerine,has a plug,0
doll,has a plug,0
bookcase,has a plug,0
armor,has a plug,0
dresser,has a plug,0
peeler,has a plug,0
rattle,has a plug,0
clam,has a plug,0
willow,has a plug,0
foot,has a plug,0
frisbee,has a plug,0
dandelion,has a plug,0
catapult,has a plug,0
basket,has a plug,0
organ,has a plug,0
starling,has a plug,0
prawn,has a plug,0
bag,has a plug,0
chandelier,has a plug,0
bin,has a plug,0
puppet,has a plug,0
basin,has a drain hole,1
sink,has a drain hole,1
bathtub,has a drain hole,1
raft,has a drain hole,0
kite,has a drain hole,0
dice,has a drain hole,0
yoyo,has a drain hole,0
catapult,has a drain hole,0
earmuffs,has a drain hole,0
balloon,has a drain hole,0
doll,has a drain hole,0
rattle,has a drain hole,0
basin,has a drain,1
sink,has a drain,1
bathtub,has a drain,1
raft,has a drain,0
kite,has a drain,0
dice,has a drain,0
yoyo,has a drain,0
catapult,has a drain,0
earmuffs,has a drain,0
balloon,has a drain,0
doll,has a drain,0
rattle,has a drain,0
basin,is used for washing,1
sink,is used for washing,1
raft,is used for washing,0
kite,is used for washing,0
doll,is used for washing,0
rattle,is used for washing,0
catapult,is used for washing,0
balloon,is used for washing,0
basin,is bowl shaped,1
strainer,is bowl shaped,1
sink,is bowl shaped,1
colander,is bowl shaped,1
raft,is bowl shaped,0
clamp,is bowl shaped,0
kite,is bowl shaped,0
spirit_level,is bowl shaped,0
mirror,is bowl shaped,0
catapult,is bowl shaped,0
balloon,is bowl shaped,0
spear,is bowl shaped,0
bomb,is bowl shaped,0
doll,is bowl shaped,0
rattle,is bowl shaped,0
peeler,is bowl shaped,0
basin,is attached to pipes,1
jar,is attached to pipes,0
bucket,is attached to pipes,0
barrel,is attached to pipes,0
basin,requires plumbing,1
washing_machine,requires plumbing,1
dishwasher,requires plumbing,1
bucket,requires plumbing,0
barrel,requires plumbing,0
stove,requires plumbing,0
refrigerator,requires plumbing,0
coffee_maker,requires plumbing,0
oven,requires plumbing,0
jar,requires plumbing,0
microwave,requires plumbing,0
toaster,requires plumbing,0
basin,can have multiple taps,1
sink,can have multiple taps,1
raft,can have multiple taps,0
kite,can have multiple taps,0
doll,can have multiple taps,0
rattle,can have multiple taps,0
catapult,can have multiple taps,0
balloon,can have multiple taps,0
donut,can be filled,1
pie,can be filled,1
basin,can be filled,1
coffee_maker,can be filled,1
sink,can be filled,1
dishwasher,can be filled,1
sandwich,can be filled,1
bathtub,can be filled,1
raft,can be filled,0
kite,can be filled,0
mushroom,can be filled,0
corn,can be filled,0
yoyo,can be filled,0
box,can be filled,0
balloon,can be filled,0
refrigerator,can be filled,0
earmuffs,can be filled,0
flour,can be filled,0
oven,can be filled,0
cake,can be filled,0
chocolate,can be filled,0
rattle,can be filled,0
microwave,can be filled,0
celery,can be filled,0
rhubarb,can be filled,0
yoghurt,can be filled,0
catapult,can be filled,0
rice,can be filled,0
stove,can be filled,0
washing_machine,can be filled,0
doll,can be filled,0
toaster,can be filled,0
basin,can be attached to a wall,1
jar,can be attached to a wall,0
bucket,can be attached to a wall,0
barrel,can be attached to a wall,0
basin,is used while brushing teeth,1
jar,is used while brushing teeth,0
bucket,is used while brushing teeth,0
barrel,is used while brushing teeth,0
bed,can be found in bedrooms,1
table,can be found in bedrooms,1
mirror,can be found in bedrooms,1
rocking_chair,can be found in bedrooms,1
cloak,can be found in bedrooms,1
bookcase,can be found in bedrooms,1
chest_of_drawers,can be found in bedrooms,1
lamp,can be found in bedrooms,1
cupboard,can be found in bedrooms,1
chair,can be found in bedrooms,1
cradle,can be found in bedrooms,1
dresser,can be found in bedrooms,1
armchair,can be found in bedrooms,1
dice,can be found in bedrooms,0
shawl,can be found in bedrooms,0
basin,can be found in bedrooms,0
box,can be found in bedrooms,0
balloon,can be found in bedrooms,0
coat,can be found in bedrooms,0
sink,can be found in bedrooms,0
rocket,can be found in bedrooms,0
peeler,can be found in bedrooms,0
cape,can be found in bedrooms,0
strainer,can be found in bedrooms,0
catapult,can be found in bedrooms,0
basket,can be found in bedrooms,0
bag,can be found in bedrooms,0
cage,can be found in bedrooms,0
sledge,can be found in bedrooms,0
bomb,can be found in bedrooms,0
bin,can be found in bedrooms,0
chandelier,can be found in bedrooms,0
puppet,can be found in bedrooms,0
raft,can be found in bedrooms,0
kite,can be found in bedrooms,0
bucket,can be found in bedrooms,0
chopping_board,can be found in bedrooms,0
yoyo,can be found in bedrooms,0
earmuffs,can be found in bedrooms,0
coach,can be found in bedrooms,0
bottle,can be found in bedrooms,0
armor,can be found in bedrooms,0
rattle,can be found in bedrooms,0
train,can be found in bedrooms,0
spirit_level,can be found in bedrooms,0
wallet,can be found in bedrooms,0
rake,can be found in bedrooms,0
bus,can be found in bedrooms,0
doll,can be found in bedrooms,0
broom,can be found in bedrooms,0
bathtub,can be found in bedrooms,0
plow,can be found in bedrooms,0
basin,can be found inside buildings,1
sink,can be found inside buildings,1
raft,can be found inside buildings,0
kite,can be found inside buildings,0
doll,can be found inside buildings,0
rattle,can be found inside buildings,0
catapult,can be found inside buildings,0
balloon,can be found inside buildings,0
basin,can be found near the toilet,1
sink,can be found near the toilet,1
raft,can be found near the toilet,0
kite,can be found near the toilet,0
doll,can be found near the toilet,0
rattle,can be found near the toilet,0
catapult,can be found near the toilet,0
balloon,can be found near the toilet,0
hose,can be used for cleaning,1
bucket,can be used for cleaning,1
basin,can be used for cleaning,1
washing_machine,can be used for cleaning,1
sink,can be used for cleaning,1
dishwasher,can be used for cleaning,1
broom,can be used for cleaning,1
bathtub,can be used for cleaning,1
raft,can be used for cleaning,0
salmon,can be used for cleaning,0
kite,can be used for cleaning,0
dice,can be used for cleaning,0
chopping_board,can be used for cleaning,0
mushroom,can be used for cleaning,0
yoyo,can be used for cleaning,0
earmuffs,can be used for cleaning,0
balloon,can be used for cleaning,0
refrigerator,can be used for cleaning,0
coffee_maker,can be used for cleaning,0
oven,can be used for cleaning,0
doll,can be used for cleaning,0
rattle,can be used for cleaning,0
microwave,can be used for cleaning,0
rattlesnake,can be used for cleaning,0
grater,can be used for cleaning,0
catapult,can be used for cleaning,0
basket,can be used for cleaning,0
stove,can be used for cleaning,0
scissors,can be used for cleaning,0
parka,can be used for cleaning,0
budgie,can be used for cleaning,0
champagne,can be used for cleaning,0
swan,can be used for cleaning,0
bin,can be used for cleaning,0
toaster,can be used for cleaning,0
boomerang,can be used for cleaning,0
bin,can be made of wicker,1
basket,can be made of wicker,1
bowl,can be made of wicker,0
barrel,can be made of wicker,0
bag,can be made of wicker,0
bottle,can be made of wicker,0
jar,can be made of wicker,0
box,can be made of wicker,0
basket,can be attached to bicycles,1
bin,can be attached to bicycles,0
bag,can be attached to bicycles,0
box,can be attached to bicycles,0
basket,can be woven,1
bin,can be woven,0
bag,can be woven,0
box,can be woven,0
basket,can be made of straw,1
bin,can be made of straw,0
bag,can be made of straw,0
box,can be made of straw,0
basket,can be found at picnics,1
bin,can be found at picnics,0
bag,can be found at picnics,0
box,can be found at picnics,0
basket,can contain flowers,1
bin,can contain flowers,0
bag,can contain flowers,0
box,can contain flowers,0
gong,can be suspended,1
basket,can be suspended,1
satchel,can be suspended,1
chandelier,can be suspended,1
puppet,can be suspended,1
raft,can be suspended,0
bowl,can be suspended,0
barrel,can be suspended,0
cymbal,can be suspended,0
kite,can be suspended,0
castanets,can be suspended,0
drum,can be suspended,0
catapult,can be suspended,0
box,can be suspended,0
balloon,can be suspended,0
bag,can be suspended,0
sink,can be suspended,0
doll,can be suspended,0
bottle,can be suspended,0
bin,can be suspended,0
tray,is rigid,1
bolt,is rigid,1
basket,is rigid,1
helmet,is rigid,1
bone,is rigid,1
walrus,is rigid,0
pliers,is rigid,0
saxophone,is rigid,0
box,is rigid,0
bicycle,is rigid,0
crowbar,is rigid,0
ear,is rigid,0
tomato,is rigid,0
apron,is rigid,0
scarf,is rigid,0
eye,is rigid,0
rolling_pin,is rigid,0
screw,is rigid,0
bullet,is rigid,0
bag,is rigid,0
cap,is rigid,0
heart,is rigid,0
bin,is rigid,0
broom,is rigid,0
hamster,is nocturnal,1
wolf,is nocturnal,1
nightingale,is nocturnal,1
fox,is nocturnal,1
hedgehog,is nocturnal,1
owl,is nocturnal,1
mosquito,is nocturnal,1
moth,is nocturnal,1
snail,is nocturnal,1
bat,is nocturnal,1
cricket,is nocturnal,1
hummingbird,is nocturnal,0
oyster,is nocturnal,0
skunk,is nocturnal,0
bear,is nocturnal,0
scallop,is nocturnal,0
worm,is nocturnal,0
wren,is nocturnal,0
emu,is nocturnal,0
monkey,is nocturnal,0
slug,is nocturnal,0
millipede,is nocturnal,0
rabbit,is nocturnal,0
centipede,is nocturnal,0
squirrel,is nocturnal,0
camel,is nocturnal,0
swan,is nocturnal,0
scorpion,is nocturnal,0
elephant,is nocturnal,0
chipmunk,is nocturnal,0
parakeet,is nocturnal,0
porcupine,is nocturnal,0
jellyfish,is nocturnal,0
gerbil,is nocturnal,0
termite,is nocturnal,0
rat,is nocturnal,0
spider,is nocturnal,0
clam,is nocturnal,0
sparrow,is nocturnal,0
mussel,is nocturnal,0
raccoon,is nocturnal,0
seal,is nocturnal,0
mouse,is nocturnal,0
beaver,is nocturnal,0
walrus,is a mammal,1
skunk,is a mammal,1
tiger,is a mammal,1
wolf,is a mammal,1
bear,is a mammal,1
cow,is a mammal,1
hyena,is a mammal,1
otter,is a mammal,1
lamb,is a mammal,1
horse,is a mammal,1
calf,is a mammal,1
buffalo,is a mammal,1
monkey,is a mammal,1
bat,is a mammal,1
hippo,is a mammal,1
pony,is a mammal,1
panther,is a mammal,1
zebra,is a mammal,1
lion,is a mammal,1
llama,is a mammal,1
rabbit,is a mammal,1
giraffe,is a mammal,1
squirrel,is a mammal,1
pig,is a mammal,1
camel,is a mammal,1
cheetah,is a mammal,1
leopard,is a mammal,1
dolphin,is a mammal,1
elephant,is a mammal,1
chipmunk,is a mammal,1
cat,is a mammal,1
gorilla,is a mammal,1
hamster,is a mammal,1
porcupine,is a mammal,1
sheep,is a mammal,1
gerbil,is a mammal,1
guinea_pig,is a mammal,1
donkey,is a mammal,1
goat,is a mammal,1
fox,is a mammal,1
rat,is a mammal,1
moose,is a mammal,1
kangaroo,is a mammal,1
platypus,is a mammal,1
dog,is a mammal,1
ox,is a mammal,1
whale,is a mammal,1
deer,is a mammal,1
raccoon,is a mammal,1
seal,is a mammal,1
rhino,is a mammal,1
mouse,is a mammal,1
hedgehog,is a mammal,1
beaver,is a mammal,1
hummingbird,is a mammal,0
buttercup,is a mammal,0
carnation,is a mammal,0
ball,is a mammal,0
dice,is a mammal,0
lobster,is a mammal,0
basin,is a mammal,0
clock,is a mammal,0
finger,is a mammal,0
seahorse,is a mammal,0
cockroach,is a mammal,0
buzzard,is a mammal,0
alligator,is a mammal,0
chestnut,is a mammal,0
wren,is a mammal,0
oven,is a mammal,0
revolver,is a mammal,0
arrow,is a mammal,0
emu,is a mammal,0
rocket,is a mammal,0
iguana,is a mammal,0
crab,is a mammal,0
dove,is a mammal,0
bone,is a mammal,0
cod,is a mammal,0
rifle,is a mammal,0
taxi,is a mammal,0
daffodil,is a mammal,0
partridge,is a mammal,0
screw,is a mammal,0
basket,is a mammal,0
pine,is a mammal,0
grasshopper,is a mammal,0
goose,is a mammal,0
rice,is a mammal,0
sledge,is a mammal,0
cage,is a mammal,0
mirror,is a mammal,0
ambulance,is a mammal,0
gloves,is a mammal,0
skateboard,is a mammal,0
herring,is a mammal,0
toad,is a mammal,0
bucket,is a mammal,0
prune,is a mammal,0
tulip,is a mammal,0
dressing_gown,is a mammal,0
chest_of_drawers,is a mammal,0
caterpillar,is a mammal,0
octopus,is a mammal,0
tongue,is a mammal,0
chicken,is a mammal,0
pelican,is a mammal,0
hyacinth,is a mammal,0
seagull,is a mammal,0
blouse,is a mammal,0
mussel,is a mammal,0
starling,is a mammal,0
tortoise,is a mammal,0
deckchair,is a mammal,0
ashtray,is a mammal,0
crocodile,is a mammal,0
broom,is a mammal,0
ice_cream,is a mammal,0
eagle,is a mammal,0
scalpel,is a mammal,0
parsley,is a mammal,0
banjo,is a mammal,0
pliers,is a mammal,0
trout,is a mammal,0
hair,is a mammal,0
scallop,is a mammal,0
worm,is a mammal,0
clarinet,is a mammal,0
lamp,is a mammal,0
sink,is a mammal,0
oak,is a mammal,0
trombone,is a mammal,0
sunflower,is a mammal,0
eucalyptus,is a mammal,0
sofa,is a mammal,0
cricket,is a mammal,0
rollerskate,is a mammal,0
armchair,is a mammal,0
bee,is a mammal,0
satsuma,is a mammal,0
slug,is a mammal,0
wasp,is a mammal,0
bolt,is a mammal,0
orchid,is a mammal,0
locust,is a mammal,0
centipede,is a mammal,0
daisy,is a mammal,0
bag,is a mammal,0
ferry,is a mammal,0
penguin,is a mammal,0
elm,is a mammal,0
date,is a mammal,0
chandelier,is a mammal,0
puppet,is a mammal,0
scorpion,is a mammal,0
camera,is a mammal,0
geranium,is a mammal,0
barrel,is a mammal,0
turnip,is a mammal,0
carp,is a mammal,0
saxophone,is a mammal,0
termite,is a mammal,0
hawk,is a mammal,0
cockerel,is a mammal,0
spinach,is a mammal,0
canary,is a mammal,0
bookcase,is a mammal,0
armor,is a mammal,0
cup,is a mammal,0
magpie,is a mammal,0
dandelion,is a mammal,0
broccoli,is a mammal,0
prawn,is a mammal,0
dragonfly,is a mammal,0
rake,is a mammal,0
pigeon,is a mammal,0
tights,is a mammal,0
sandwich,is a mammal,0
oil_tanker,is a mammal,0
turtle,is a mammal,0
mosquito,is a mammal,0
doll,is a mammal,0
chair,is a mammal,0
rattlesnake,is a mammal,0
apricot,is a mammal,0
coffee,is a mammal,0
bread,is a mammal,0
sardine,is a mammal,0
flounder,is a mammal,0
balloon,is a mammal,0
cucumber,is a mammal,0
cookie,is a mammal,0
stick_insect,is a mammal,0
peacock,is a mammal,0
jar,is a mammal,0
willow,is a mammal,0
pea,is a mammal,0
ostrich,is a mammal,0
banana,is a mammal,0
hornet,is a mammal,0
tray,is a mammal,0
mitten,is a mammal,0
yoghurt,is a mammal,0
catapult,is a mammal,0
millipede,is a mammal,0
skirt,is a mammal,0
lizard,is a mammal,0
budgie,is a mammal,0
swan,is a mammal,0
snail,is a mammal,0
woodpecker,is a mammal,0
turkey,is a mammal,0
bin,is a mammal,0
sugar,is a mammal,0
marigold,is a mammal,0
parakeet,is a mammal,0
salmon,is a mammal,0
raft,is a mammal,0
tugboat,is a mammal,0
yoyo,is a mammal,0
squid,is a mammal,0
tarantula,is a mammal,0
heron,is a mammal,0
kingfisher,is a mammal,0
earmuffs,is a mammal,0
machete,is a mammal,0
fork,is a mammal,0
spider,is a mammal,0
bottle,is a mammal,0
clam,is a mammal,0
dagger,is a mammal,0
rattle,is a mammal,0
sycamore,is a mammal,0
rhubarb,is a mammal,0
minnow,is a mammal,0
raven,is a mammal,0
truck,is a mammal,0
goldfish,is a mammal,0
airplane,is a mammal,0
housefly,is a mammal,0
brussels_sprout,is a mammal,0
fir,is a mammal,0
butterfly,is a mammal,0
nose,is a mammal,0
submarine,is a mammal,0
washing_machine,is a mammal,0
boat,is a mammal,0
jug,is a mammal,0
moth,is a mammal,0
heart,is a mammal,0
rose,is a mammal,0
raspberry,is a mammal,0
colander,is a mammal,0
frog,is a mammal,0
mackerel,is a mammal,0
bed,is a mammal,0
oyster,is a mammal,0
robin,is a mammal,0
cheese,is a mammal,0
box,is a mammal,0
piano,is a mammal,0
brandy,is a mammal,0
owl,is a mammal,0
pansy,is a mammal,0
beetle,is a mammal,0
peeler,is a mammal,0
hutch,is a mammal,0
duck,is a mammal,0
blender,is a mammal,0
flamingo,is a mammal,0
flea,is a mammal,0
scissors,is a mammal,0
lily,is a mammal,0
birch,is a mammal,0
lime,is a mammal,0
crane,is a mammal,0
tuna,is a mammal,0
falcon,is a mammal,0
toaster,is a mammal,0
crayfish,is a mammal,0
hammer,is a mammal,0
clamp,is a mammal,0
kite,is a mammal,0
jellyfish,is a mammal,0
shrimp,is a mammal,0
chopping_board,is a mammal,0
grapefruit,is a mammal,0
mushroom,is a mammal,0
drill,is a mammal,0
plate,is a mammal,0
melon,is a mammal,0
ladybird,is a mammal,0
bicycle,is a mammal,0
ant,is a mammal,0
sparrow,is a mammal,0
eel,is a mammal,0
train,is a mammal,0
shark,is a mammal,0
grape,is a mammal,0
leotard,is a mammal,0
saw,is a mammal,0
nightingale,is a mammal,0
nectarine,is a mammal,0
caravan,is a mammal,0
poppy,is a mammal,0
mango,is a mammal,0
bat,can hang upside down,1
monkey,can hang upside down,0
squirrel,can hang upside down,0
rat,can hang upside down,0
walrus,has fur,1
skunk,has fur,1
tiger,has fur,1
wolf,has fur,1
bear,has fur,1
cow,has fur,1
hyena,has fur,1
otter,has fur,1
lamb,has fur,1
horse,has fur,1
calf,has fur,1
buffalo,has fur,1
monkey,has fur,1
bat,has fur,1
bee,has fur,1
pony,has fur,1
panther,has fur,1
zebra,has fur,1
wasp,has fur,1
hornet,has fur,1
lion,has fur,1
llama,has fur,1
flea,has fur,1
rabbit,has fur,1
giraffe,has fur,1
squirrel,has fur,1
pig,has fur,1
camel,has fur,1
cheetah,has fur,1
leopard,has fur,1
elephant,has fur,1
chipmunk,has fur,1
cat,has fur,1
gorilla,has fur,1
hamster,has fur,1
porcupine,has fur,1
sheep,has fur,1
gerbil,has fur,1
guinea_pig,has fur,1
donkey,has fur,1
goat,has fur,1
fox,has fur,1
rat,has fur,1
caterpillar,has fur,1
tarantula,has fur,1
moose,has fur,1
spider,has fur,1
kangaroo,has fur,1
platypus,has fur,1
dog,has fur,1
ox,has fur,1
deer,has fur,1
housefly,has fur,1
raccoon,has fur,1
seal,has fur,1
mouse,has fur,1
hedgehog,has fur,1
moth,has fur,1
beaver,has fur,1
hummingbird,has fur,0
buttercup,has fur,0
carnation,has fur,0
ball,has fur,0
dice,has fur,0
lobster,has fur,0
radish,has fur,0
whiskey,has fur,0
clock,has fur,0
finger,has fur,0
seahorse,has fur,0
cockroach,has fur,0
buzzard,has fur,0
alligator,has fur,0
chestnut,has fur,0
wren,has fur,0
blueberry,has fur,0
oven,has fur,0
swing,has fur,0
emu,has fur,0
rocket,has fur,0
dishwasher,has fur,0
iguana,has fur,0
motorcycle,has fur,0
hippo,has fur,0
crab,has fur,0
dove,has fur,0
cod,has fur,0
taxi,has fur,0
daffodil,has fur,0
partridge,has fur,0
screw,has fur,0
basket,has fur,0
pine,has fur,0
grasshopper,has fur,0
goose,has fur,0
ladle,has fur,0
sledge,has fur,0
mirror,has fur,0
gloves,has fur,0
skateboard,has fur,0
ham,has fur,0
herring,has fur,0
toad,has fur,0
bucket,has fur,0
tulip,has fur,0
swimsuit,has fur,0
bayonet,has fur,0
octopus,has fur,0
throne,has fur,0
chicken,has fur,0
pelican,has fur,0
hyacinth,has fur,0
seagull,has fur,0
foot,has fur,0
mussel,has fur,0
organ,has fur,0
starling,has fur,0
tortoise,has fur,0
rhino,has fur,0
dress,has fur,0
crocodile,has fur,0
broom,has fur,0
eagle,has fur,0
suit,has fur,0
trout,has fur,0
hair,has fur,0
scallop,has fur,0
worm,has fur,0
yacht,has fur,0
marble,has fur,0
plum,has fur,0
helmet,has fur,0
belt,has fur,0
sink,has fur,0
oak,has fur,0
sofa,has fur,0
sunflower,has fur,0
eucalyptus,has fur,0
microwave,has fur,0
cricket,has fur,0
rollerskate,has fur,0
armchair,has fur,0
arm,has fur,0
cart,has fur,0
slug,has fur,0
orchid,has fur,0
locust,has fur,0
parka,has fur,0
centipede,has fur,0
daisy,has fur,0
bag,has fur,0
penguin,has fur,0
elm,has fur,0
date,has fur,0
chandelier,has fur,0
puppet,has fur,0
accordion,has fur,0
speedboat,has fur,0
scorpion,has fur,0
geranium,has fur,0
carp,has fur,0
termite,has fur,0
hawk,has fur,0
cockerel,has fur,0
cake,has fur,0
canary,has fur,0
bookcase,has fur,0
armor,has fur,0
barge,has fur,0
lips,has fur,0
magpie,has fur,0
dandelion,has fur,0
prawn,has fur,0
dragonfly,has fur,0
rake,has fur,0
pigeon,has fur,0
oil_tanker,has fur,0
turtle,has fur,0
mosquito,has fur,0
doll,has fur,0
spade,has fur,0
tea,has fur,0
rattlesnake,has fur,0
plow,has fur,0
canoe,has fur,0
bacon,has fur,0
ketchup,has fur,0
violin,has fur,0
sardine,has fur,0
spanner,has fur,0
club,has fur,0
flounder,has fur,0
balloon,has fur,0
stick_insect,has fur,0
peacock,has fur,0
unicycle,has fur,0
van,has fur,0
willow,has fur,0
ostrich,has fur,0
rocking_chair,has fur,0
tray,has fur,0
yoghurt,has fur,0
catapult,has fur,0
millipede,has fur,0
gong,has fur,0
tuba,has fur,0
harpoon,has fur,0
lizard,has fur,0
budgie,has fur,0
swan,has fur,0
snail,has fur,0
woodpecker,has fur,0
turkey,has fur,0
bin,has fur,0
dolphin,has fur,0
marigold,has fur,0
parakeet,has fur,0
salmon,has fur,0
raft,has fur,0
bowl,has fur,0
yoyo,has fur,0
squid,has fur,0
heron,has fur,0
kingfisher,has fur,0
earmuffs,has fur,0
bottle,has fur,0
clam,has fur,0
cradle,has fur,0
rattle,has fur,0
sycamore,has fur,0
rhubarb,has fur,0
minnow,has fur,0
raven,has fur,0
goldfish,has fur,0
brussels_sprout,has fur,0
fir,has fur,0
butterfly,has fur,0
sword,has fur,0
toe,has fur,0
nose,has fur,0
washing_machine,has fur,0
rose,has fur,0
colander,has fur,0
frog,has fur,0
mackerel,has fur,0
oyster,has fur,0
robin,has fur,0
box,has fur,0
robe,has fur,0
piano,has fur,0
stocking,has fur,0
owl,has fur,0
pansy,has fur,0
beetle,has fur,0
peeler,has fur,0
cherry,has fur,0
duck,has fur,0
blender,has fur,0
